,Aula,Categoria,Prof/Aluno,Nome,Link Site Br.ino,Link Direcionado,Status,Obs
1,14,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_14/aula,,Fazer,Gravar
1,14,Brastoy e Edison,Aluno,Manual trem,https://brino.cc/EFAI/1_14/trem,,Fazer,
2,14,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_14/aula,,Fazer,
2,14,Animação Brastoy,Professor,Projeto da parafusadeira com Brastoy,https://brino.cc/EFAI/2_14/montar ,,Fazer,
3,14,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_14/aula,,Fazer,
3,14,Link,Aluno,Jogo da colheita com makey Makey,https://brino.cc/EFAI/3_14/colheita,https://apps.makeymakey.com/v2/#fruit%20catcher,Fazer,
4,14,Video interno,Professor,Resumo da aula 14,https://brino.cc/EFAI/4_14/aula,,Fazer,
4,14,Animação Brastoy,Aluno,Montagem da escavadeira,https://brino.cc/EFAI/4_14/esc,,Fazer,
4,14,Animação Brastoy,Aluno,Montagem do Edison esgrima,https://brino.cc/EFAI/4_14/esgrima,,,
5,14,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/5_14/aula  ,,Fazer,Gravar
5,14,Animação Brastoy,Aluno,Montagem da empilhadeira,https://brino.cc/EFAI/5_14/mont,,Fazer,
5,14,Link,Aluno,Padlet diário aulas de robótica (Diário do Capitão),https://brino.cc/EFAI/5_14/diario,,Fazer,
1,15,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_15/aula,,Fazer,Gravar
1,15,Material para ser impresso,Professor,Quiver do Quadriciclo,https://brino.cc/EFAI/1_15/quadri,,Fazer,
2,15,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_15/aula,,Fazer,
2,15,Animação Brastoy,Aluno,Manual Brastoy máquina de enrolar mangueiras,https://brino.cc/EFAI/2_15/maq,,Fazer,
3,15,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_15/aula,,Fazer,
3,15,Link,Professor,Como jogar Puluc,https://brino.cc/EFAI/3_15/puluc,https://youtu.be/gw3NiP0NurA?feature=shared,Fazer,
3,15,Link,Aluno,Jogo Mayan Escape Room,https://brino.cc/EFAI/3_15/maia,,Fazer,
4,15,Video interno,Professor,Resumo da aula 15,https://brino.cc/EFAI/4_15/aula,,Fazer,
4,15,Material para ser impresso,Professor,Folha com partes de barco para o leilão,https://brino.cc/EFAI/4_15/leilao,,Fazer,
5,15,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/5_15/aula ,,Fazer,Gravar
5,15,Link,Professor,O que é IA,https://brino.cc/EFAI/5_15/ia,,Fazer,
5,15,Link,Aluno,Animated Drawing,https://brino.cc/EFAI/5_15/ani,https://sketch.metademolab.com/canvas,Feito,
5,15,Link,Aluno,"Quick Draw (Rápido, desenhe)",https://brino.cc/EFAI/5_15/draw,https://quickdraw.withgoogle.com/,Feito,
5,15,Link,Aluno,Teachable Machine,https://brino.cc/EFAI/5_15/machine ,https://teachablemachine.withgoogle.com/train/image,Feito,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
,,,Selecionar,,,,Selecionar,
